league,club,team rating,goals per match,conceded goals per match,average possession,clean sheets,expected goals,shots on target per match,big chances,big chances missed,accurate passes per match,accurate long balls per match,accurate crosses per match,penalties awarded,touches in opposition box,corners,expected goals conceded,interceptions per match,successful tackles per match,clearances per match,possession won final 3rd per match,penalties conceded,saves per match,fouls per match,total yellow cards,red cards
ENG,Manchester City,7.13,1.9,1.2,61.6%,13,69.2,5.7,114,67,543.7,20.4,4.2,4.0,"1,432",253,48.5,6.0,7.9,15.4,4.8,4,2.3,7.6,57,2.0
ENG,Liverpool,7.11,2.3,1.1,57.9%,14,83.5,6.1,150,92,456.6,22.3,4.6,9.0,"1,425",252,38.7,7.9,10.3,18.2,4.4,2,2.8,11.3,65,3.0
ENG,Arsenal,7.08,1.8,0.9,57.0%,13,61.6,4.9,110,70,426.7,16.4,4.8,2.0,"1,379",251,35.1,5.9,9.2,17.0,4.9,3,2.3,10.6,64,6.0
ENG,Chelsea,7.06,1.7,1.1,57.2%,11,69.2,5.7,120,83,451.5,21.4,3.9,5.0,"1,196",234,48.0,7.2,9.8,17.2,5.0,6,3.0,11.5,99,2.0
ENG,AFC Bournemouth,6.99,1.5,1.2,48.6%,9,64.9,5.3,106,68,318.1,23.1,5.2,7.0,"1,081",228,49.3,9.2,10.5,25.9,5.7,4,3.4,13.8,97,3.0
ENG,Nottingham Forest,6.96,1.5,1.2,40.8%,13,46.6,4.4,78,48,268.2,20.1,3.9,3.0,834,159,49.6,8.5,11.0,31.1,3.2,3,3.2,10.6,86,2.0
ENG,Newcastle United,6.95,1.8,1.2,51.2%,13,65.4,4.6,107,63,377.9,17.8,4.5,6.0,"1,160",217,46.3,7.1,9.8,21.7,3.6,2,3.1,10.4,68,1.0
ENG,Brentford,6.93,1.7,1.5,47.8%,8,60.2,4.8,109,61,332.0,25.3,4.3,6.0,"1,032",174,56.1,7.5,10.0,26.4,5.0,1,4.1,8.4,62,1.0
ENG,Crystal Palace,6.91,1.3,1.3,42.6%,11,61.3,4.9,105,73,291.6,20.7,3.8,4.0,839,171,50.3,8.8,11.8,27.4,3.8,2,2.7,11.0,74,4.0
ENG,Fulham,6.89,1.4,1.4,52.3%,5,49.5,4.6,80,48,400.8,24.2,6.3,4.0,988,203,48.2,7.9,10.8,23.3,3.2,4,2.9,11.4,81,2.0
ENG,Brighton & Hove Albion,6.88,1.7,1.6,52.6%,8,59.2,5.0,110,69,394.7,20.8,5.1,7.0,"1,154",188,55.1,8.3,11.3,19.7,4.5,9,2.5,11.5,76,3.0
ENG,Aston Villa,6.87,1.5,1.3,50.6%,9,57.3,4.5,114,76,370.6,17.9,3.3,6.0,"1,014",230,50.8,6.3,9.8,19.2,3.2,3,2.8,10.7,72,4.0
ENG,Everton,6.85,1.1,1.2,40.6%,12,42.4,3.8,77,54,277.1,26.6,4.8,2.0,775,154,46.9,9.1,11.4,27.7,3.7,2,3.2,11.3,80,2.0
ENG,Wolverhampton Wanderers,6.82,1.4,1.8,48.1%,8,44.4,4.2,70,43,356.9,21.5,3.4,,771,148,58.7,7.8,12.4,23.7,3.7,9,2.7,12.6,75,2.0
ENG,Manchester United,6.82,1.2,1.4,53.6%,10,53.5,4.6,82,58,420.3,22.4,4.1,4.0,"1,038",197,55.1,9.4,13.0,19.1,5.1,4,2.6,10.6,84,3.0
ENG,Tottenham Hotspur,6.79,1.7,1.7,54.8%,6,59.7,4.9,99,59,408.3,15.3,4.5,4.0,"1,074",243,64.4,8.5,10.9,20.4,4.9,3,3.2,11.7,70,1.0
ENG,West Ham United,6.73,1.2,1.6,48.6%,7,48.1,3.8,75,50,367.4,23.7,4.1,3.0,882,152,60.6,8.7,10.2,26.3,3.8,3,3.5,11.7,78,3.0
ENG,Leicester City,6.55,0.9,2.1,45.3%,3,32.8,2.9,58,35,343.6,18.2,3.9,3.0,662,139,73.3,8.6,11.3,25.1,2.8,4,3.6,11.1,87,
ENG,Ipswich Town,6.51,0.9,2.2,40.3%,2,34.7,3.3,60,40,284.9,18.9,3.1,2.0,646,145,74.4,8.0,8.9,28.1,3.6,6,3.5,11.3,85,5.0
